id;type;title;subtitle;author;publication_date;publisher_id;place;editor
244;book;Выставка картин Кульбина;\N;\N;1912-00-00;64;\N;\N
245;book;Ausstellung des Deutschen Künstlerbundes Darmstadt;Illustrierter Katalog;\N;1910-00-00;\N;Darmstadt;\N
246;book;Modern Art Exhibitions 1900-1916;\N;Gordon, Donald E.;1974-00-00;65;Munich;\N
247;book;Modern Art Exhibitions 1900-1916 [Vol. 2/2];\N;Gordon, Donald E.;1974-00-00;65;Munich;\N
248;book;Modern Art Exhibitions 1900-1916 Vol. 1/2;\N;Gordon, Donald E.;1974-00-00;65;Munich;\N
249;book;Template Exhibition. Fünfzehnte Ausstellung [vol. 1/2];Illustrierter Katalog;\N;1905-00-00;30;Berlin;\N
250;book;Tentoonstelling van Schilderijen door Vincent Van Gogh;\N;\N;1905-00-00;\N;\N;\N
251;book;Exposition d'Oeuvres de Picabia;\N;\N;1905-00-00;\N;Paris;\N
252;book;2. Deutsche Künstlerbund Ausstellung;\N;\N;1905-00-00;9;Berlin;\N
253;book;Kunstausstellung der Münchener Secession;\N;\N;1914-00-00;10;Munich;\N
254;book;1-ая Футуристическая Выставка картин Трамвай В;\N;\N;1915-00-00;\N;\N;\N
255;book;Выставка картин »Союз русских художников«;\N;\N;1905-00-00;56;Moscow;\N
256;book;VI выставка картин Союза Русских Художников;\N;\N;1908-00-00;56;\N;\N
257;book;Выставка Картин Союза Русских Художников;\N;\N;1910-00-00;66;\N;\N
258;book;Выставка картин "Стефанос";\N;\N;1907-00-00;57;\N;\N
259;book;Выставка Картин Группы Художников Мишень;\N;\N;1913-00-00;\N;\N;\N
260;book;Венок;\N;\N;1908-00-00;67;St. Petersburg;\N
261;book;Постоянная Выставка Современнаго Искусства;\N;\N;1913-00-00;68;\N;\N
262;book;Однодневная выставка произведений М. Ф. Ларионова;\N;\N;1911-00-00;69;\N;\N
263;book;Мир Искусства;\N;\N;1911-00-00;56;Moscow;\N
264;book;Der Sturm. Ein Erinnerungsbuch an Herwarth Walden und die Künstler aus dem Sturmkreis;\N;Walden, Nell\; Schreyer, L.;1954-00-00;\N;Baden-Baden;\N
265;book;Edvard Munch;Katalog öfver målingar;\N;1913-00-00;\N;Stockholm;\N
266;book;Каталог художественной выставки „Мир Искусства“;\N;\N;1906-00-00;70;Saint Petersburg;\N
267;book;Der Sturm. Zweite Ausstellung. Die Futuristen;Umberto Boccioni, Carlo D. Carra, Luigi Russolo, Gino Severini;\N;1912-00-00;51;Berlin;\N
268;book;Katalog der XXII. Ausstellung der Berliner Secession;\N;\N;1911-00-00;9;Berlin;\N
269;book;Союз русских художников;Иллюстрированный каталог выставки картин;\N;1909-00-00;72;\N;\N
270;book;Мир искусства;\N;\N;1913-00-00;\N;\N;\N
271;book;VII Выставка Картин Союза Русских Художников;\N;\N;1909-00-00;56;Moscow;\N
272;book;International Exhibition of Modern Art [Armory Show];The Art Institute of Chicago;\N;1913-00-00;\N;\N;\N
273;book;Katalog der XXVI. Ausstellung der Berliner Secession;\N;\N;1913-00-00;9;Berlin;\N
274;book;Special Exhibition. Paintings Drawings Etchings Lithographs and Sculpture by Henri Matisse;Catalogue with Half-tone Reproductions and Color Plate;\N;1915-00-00;\N;New York;\N
275;book;Contemporary Group Exhibition;\N;\N;1915-00-00;\N;New York;\N
276;book;Иконописные Подлинники и Лубки;\N;\N;1913-00-00;\N;\N;\N
277;book;Союз Моледежи;\N;\N;1912-00-00;75;\N;\N
278;book;XVIII Выставка Картин Московскаго Т-ва Художников;\N;\N;1911-00-00;76;Moscow;\N
279;book;XVII выставка картин Московскаго Товарищества Художников;\N;\N;1909-00-00;77;Moscow;\N
280;book;Ausstellung des Deutschen Künstlerbundes 1913;\N;\N;1913-00-00;\N;Mannheim;\N
281;book;Exposition Van Dongen;\N;\N;1908-00-00;\N;\N;\N
282;book;Exposition Van Dongen;\N;\N;1908-00-00;\N;\N;\N
283;book;Exposition Paul Sérusier 1891-1909;\N;\N;1909-00-00;\N;\N;\N
284;book;Cinquante Tableaux de Vincent Van Gogh;\N;\N;1909-00-00;\N;\N;\N
285;book;Exposition Bonnard;\N;\N;1910-00-00;\N;\N;\N
286;book;Katalog der XXIV. Ausstellung der Berliner Secession;\N;\N;1912-00-00;9;Berlin;\N
287;book;[Kollektionen: Adolf Erbslöh, Erich Heckel, Otto Hettner, Alfred Helberger, F. Lindau, Richard Langer, Plastiken];Kunstsalon Fritz Gurlitt;\N;1914-00-00;\N;Berlin;\N
288;book;Vereinigung Bildender Kuenstler e.V. Berlin. Juryfreie Kunstschau Berlin 1913. 4. Ausstellung;\N;\N;1913-00-00;78;Berlin;\N
289;book;Exposition Cézanne (1837-1906);\N;\N;1910-00-00;\N;\N;\N
290;book;Выставка Картин о-ва Художников "Союз молодежи";\N;\N;1910-00-00;79;Saint Petersburg;\N
291;book;Выставка Живописи;1915 год;\N;1915-00-00;\N;Moscow;\N
292;book;International Exhibition of Modern Art [Armory Show];Copley Society of Boston;\N;1913-00-00;\N;New York;\N
293;book;Мир искусства;\N;\N;1911-00-00;81;\N;\N
294;book;Выставка картин в пользу лазарета деятелей искусства;\N;\N;1914-00-00;52;Saint Petersburg;\N
295;book;Ausstellungen der Galerie DER STURM 1912–1919;\N;Pirsich, Voker;2000-00-00;\N;Bremen;\N
296;book;Мир искусства;\N;\N;1913-00-00;82;\N;\N
297;book;Общество художников "Московский салон";Каталог выставки живописи и скульптуры, в помещении экономическаго о-ва офицеров;\N;1911-00-00;83;Moscow;\N
298;book;Мир Искусства;\N;\N;1913-00-00;84;Saint Petersburg;\N
299;book;Современная Живопись;Общество художников "Свободное Искусство";\N;1912-00-00;85;Moscow;\N
300;book;Opening Exhibition. Season 1913-1914;\N;\N;1913-00-00;\N;\N;\N
301;book;Kollektionen: Schmidt-Rottluff / Alexander Kanoldt / F.A. Weinzheimer / L.L. Wulf. Plastiken;\N;\N;1914-00-00;\N;\N;\N
302;book;Выставка "Современных течений в искусстве";\N;\N;1908-00-00;86;Saint Petersburg;\N
303;book;Kollektionen: Carl Caspar / Albert Lamm / Grete Moll / Otto Mueller / T. Farwick / Margarete Heymann-Hagen;\N;\N;1914-00-00;\N;\N;\N
304;book;Выставка Картин Наталии Сергеевны Гончаровой 1900-1913;\N;\N;1913-00-00;87;\N;\N
305;book;Kunstsalon Paul Cassirer. Die Ausstellungen 1912-1914;\N;\N;2016-00-00;\N;Wädenswil;Echte Bernhard\; Feilchenfeldt, Walter
306;book;XV. Jahrgang. 1912-13. Erste Ausstellung;[Galerie-Ausstellung];\N;1912-00-00;\N;\N;\N
307;book;XV. Jahrgang. 1912-13. Zweite Ausstellung;[Kollektionen Leopold von Kalckreuth, Edvard Munch, Theo von Brockhusen, Walter-Kurau. Werke von Robert Breyer, Hannah de Grahl, Ulrich Hübner, Max Brenner];\N;1912-00-00;\N;\N;\N
308;book;XV. Jahrgang. 1912-13. Dritte Ausstellung;[Sammlung Gottlieb Friedrich Reber, Barmen];\N;1913-00-00;\N;\N;\N
309;book;Lovis Corinth;Katalog der Ausstellung des Lebenswerkes von Lovis Corinth, veranstaltet von Paul Cassirer in den Räumen der Secession;\N;1913-00-00;\N;\N;\N
310;book;XV. Jahrgang. 1912-13. Vierte Ausstellung;[Max Beckmann, Walter Bondy];\N;1913-00-00;\N;\N;\N
311;book;XV. Jahrgang. 1912-13. Fünfte Ausstellung;[Paul Baum, Léon Bakst];\N;1913-00-00;\N;\N;\N
312;book;XV. Jahrgang. 1912-13. Sechste Ausstellung;[E. Othon Friesz, Adolf Hölzel, Wilhelm Trübner, Ferdinand Hodler, Fritz Rhein];\N;1913-00-00;\N;\N;\N
313;book;XV. Jahrgang. 1912-13. Siebente Ausstellung;[Martin Bloch, Heinrich Hübner, Waldemar Rösler, Rudolf Grossmann, Benno Berneis, Fritz Westendorp, El Greco];\N;1913-00-00;\N;\N;\N
314;book;XV. Jahrgang. 1912-13. Achte Ausstellung;[Artur Degner, Adolf Erbslöh, André Lhote, Alfred Sisley, Erich Thum. Zeichnungen von Rudolf Wilke];\N;1913-00-00;\N;\N;\N
315;book;[XV. Jahrgang. 1912-1913. Neunte Ausstellung]. Ausstellung Mohammedanischer Kunst;[Kollektionen von W. Degouve de Nuncques, Lene Kainer, Hans Schütz];\N;1913-00-00;\N;\N;\N
316;book;[XV. Jahrgang. 1912/13. Zehnte Ausstellung];[Sommerausstellung];\N;1913-00-00;\N;\N;\N
317;book;Exposition de Peintures et de Céramiques d G. Rouault;\N;\N;1910-00-00;\N;\N;\N
318;book;Carl Steffeck;Seine Kunst / Sein Leben / Seine Werke;\N;1913-00-00;8;Berlin;\N
319;book;[XVI. Jahrgang. 1913/14. Zweite Ausstellung]. Degas / Cézanne;[Kollektionen Edgar Degas, Paul Cézanne. Werke von Joseph Block, Camille Pissarro, Auguste Renoir, Eva Veit-Simon. Zeichnungen von Delacroix, Géricault, Guys, Rodin];\N;1913-00-00;\N;\N;\N
320;book;[XVI. Jahrgang. 1913/14. Dritte Ausstellung]. Hans Baluschek. Konrad von Kardorff. Wilhelm Trübner;[Werke von Eugen Feiks];\N;1913-00-00;\N;\N;\N
321;book;[XVI. Jahrgang. 1913-14. Fünfte Ausstellung]. Odilon Redon, Waldemar Rösler;[Werke von Hans Adolf Heimann];\N;1914-00-00;\N;\N;\N
322;book;[XVI. Jahrgang. 1913-14. Sechste Ausstellung]. Benno Berneis, August Gaul, Camille Pissarro;\N;\N;1914-00-00;\N;\N;\N
323;book;[Jahrhang XVI. 1913-14. Siebente Ausstellung]. Heinrich Nauen;[Werke von Klaus Richter, Magnus Zeller, Graphik von Erna Frank, Willi Geiger];\N;1914-00-00;\N;\N;\N
324;book;XVI. Jahrgang. 1913-14. Achte Ausstellung;[Kollektion Karl Hofer. Werke von Moriz Melzer, Bernard Boutet de Monvel, Willi Nowak, Adolf Struebe];\N;1914-00-00;\N;\N;\N
325;book;XVI. Jahrgang. 1913/1914. Neunte Ausstellung;[Kollektion Ferdinand Hodler, Werke von Pietro Marussig, Edmund Pick-Morino, Ludwig Stutz, Auguste von Zitzewitz, Skulpturen von Matthias Streicher];\N;1914-00-00;\N;\N;\N
326;book;[XVI. Jahrgang. 1913-14]. Zehnte Ausstellung. Vincent van Gogh;\N;\N;1914-00-00;\N;\N;\N
327;book;XVI. Jahrgang. 1914. Sommer-Ausstellung;\N;\N;1914-00-00;\N;\N;\N
328;book;IX. Jahrgang. 1906/1907. X. Ausstellung. [Kollektion Leopold von Kalckreuth];\N;\N;1907-00-00;\N;\N;\N
329;book;Exposition de Peintures de George Desvallières;\N;\N;1910-00-00;\N;\N;\N
330;book;X. Jahrgang. 1907/1908. I. Ausstellung. [Kollektionen Paul Cézanne, Curt Herrmann, Henri Matisse, Edvard Munch];\N;\N;1907-00-00;\N;\N;\N
331;book;Exposition Annuelle, 1er Groupe;\N;\N;1910-00-00;\N;\N;\N
332;book;X. Jahrgang. 1907/1908. II. Ausstellung. [Kollektionen Philipp Franck, Ferdinand Hodler, Walter Leistikow, Karl Walser];\N;\N;1907-00-00;\N;\N;\N
333;book;Katalog der Vierzehnten Ausstellung der Berliner Secession, Zeichnende Künste;\N;\N;1907-00-00;8;Berlin;\N
334;book;X. Jahrgang. 1907/1908. V. Ausstellung. [Kollektionen Max Beckmann, Eduard R. Butler, Lovis Corinth, Georg Kolbe, Emil Nolde, Fritz Rhein, Wilhelm Schocken];\N;\N;1908-00-00;\N;\N;\N
335;book;X. Jahrgang. 1907/1908. VI. Ausstellung. [Kollektionen v. Brockhusen, Engel, Jawlensky, Liebermann, Slevogt];[Werke von Tuaillon, Courbet, Renoir];\N;1908-00-00;\N;\N;\N
336;book;X. Jahrgang. 1907/1908. VII. Ausstellung. [Kollektion Vincent van Gogh];[Werke Französischer Meister];\N;1908-00-00;\N;\N;\N
337;book;X. Jahrgang. 1907/1908. VIII. Ausstellung. [Kollektionen von Paul Baum, Erich Hancke, Ulrich Hübner, Konrad v. Kardorff, Leo Klein-Diepold, Käthe Kollwitz, Emil Pottner, Emil Rudolf Weiss];\N;\N;1908-00-00;\N;\N;\N
338;book;Offizieller Katalog der X. Internationale Kunstausstellung im Kgl. Glaspalast zu München 1909;veranstaltet von der "Münchener Künstlergenossenschaft" im Verein mit der "Münchener Secession";\N;1909-00-00;88;Munich;\N
339;book;X. Jahrgang. 1907/1908. IX. Ausstellung. [Kollektionen Ulrich Hübner, Philipp Klein †, Emil Pottner, Emil Rudolf Weiss];\N;\N;1908-00-00;\N;\N;\N
340;book;Салон. Интернациональная выстака картин, скульптуры, гравюры и рисунков;1909-1910;\N;1909-00-00;66;Kiev;\N
341;book;Meunier kiállítás a városligeti Műcsarnokban;\N;\N;1907-00-00;73;\N;\N
342;book;Exposition Manguin;\N;\N;1910-00-00;\N;\N;\N
343;book;Салон;\N;\N;1910-00-00;89;St. Petersburg;\N
344;book;Országos Magyar Képzőművészeti Társulat. Akvarellek, pasztellek és frafikai művek nemzetközi kiállitása;\N;\N;1909-00-00;73;\N;\N
345;book;Exposition de Peintures de Albert Marquet;\N;\N;1910-00-00;\N;\N;\N
346;book;Exposition de Peintures de Albert Marquet;\N;\N;1910-00-00;\N;\N;\N
347;book;Exposition de Peintures de Félix Vallotton;\N;\N;1910-00-00;\N;\N;\N
348;book;Мир искусства;\N;\N;1912-00-00;84;Saint Petersburg;\N
349;book;Внепартийное общество художников;\N;\N;1913-00-00;90;Saint Petersburg;\N
350;book;Oeuvres Nouvelles de Van Dongen;\N;\N;1911-00-00;\N;\N;\N
351;book;Oeuvres Nouvelles de Van Dongen;\N;\N;1911-00-00;\N;\N;\N
352;book;No. 4;Выставка Картин. Футуристы, лучисты, примитив;\N;1914-00-00;\N;Moscow;\N
353;book;Exposition Centennale de l' Art Français;\N;\N;1912-00-00;81;\N;\N
354;book;Бубновый валет;\N;\N;1913-00-00;58;\N;\N
355;book;Pictures and Drawings by Roger Fry;\N;\N;1909-00-00;91;\N;\N
356;book;Orsz. Magyar Képzőművészeti Társulat. Tavaszi kiállitás;\N;\N;1907-00-00;73;\N;\N
357;book;Exposition de Peintures de Harry Bloomfield;\N;\N;1911-00-00;\N;\N;\N
358;book;Exposition de Peintures de Théo van Rysselberghe;\N;\N;1911-00-00;\N;\N;\N
359;book;Exposition de Peintures de Othon Friesz;\N;\N;1912-00-00;\N;\N;\N
360;book;Exposition de Peintures de Félix Vallotton;\N;\N;1912-00-00;\N;\N;\N
361;book;Exposition de Peintures de Madame Marval;\N;\N;1912-00-00;\N;\N;\N
362;book;Exposition Annuelle, 1er Groupe;\N;\N;1912-00-00;\N;\N;\N
363;book;Exposition Annuelle, 2me Groupe;\N;\N;1912-00-00;\N;\N;\N
364;book;Salon d'Automne. 5e Exposition. Catalogue des Ouvrages de Peinture, Sculpture, Dessin, Gravure, Architecture et Art décoratif;\N;\N;1907-00-00;92;Paris;\N
365;book;Salon d'Automne. 3e Exposition;Catalogue de Peinture, Dessin, Sculpture, Gravure, Architecture et Art décoratif;\N;1905-00-00;\N;Paris;\N
366;book;Exposition Annuelle, IIIe Groupe;\N;\N;1912-00-00;\N;\N;\N
367;book;Exposition Annuelle, IIIe Groupe;\N;\N;1912-00-00;\N;\N;\N
368;book;Salon d'Automne. 4me Exposition;Catalogue des Ouvrages de Peinture, Sculpture, Dessin, Gravure, Architecture et Art décoratif;\N;1906-00-00;92;Paris;\N
369;book;Les Peintres Futuristes italiens;\N;\N;1912-00-00;\N;\N;\N
370;book;Orsz. Magyar Képzőművészeti Társulat. Tavaszi kiállítás;\N;\N;1906-00-00;73;\N;\N
371;book;Országos Magy. Képzőművészeti Társulat. Téli nemzetközi kiállítás 1906-7;\N;\N;1906-00-00;73;Budapest;\N
372;book;Országos Magyar Képzőművészeti Társulat. Téli nemzetközi kiállítás 1908-9;\N;\N;1908-00-00;73;\N;\N
373;book;Exhibition of Work by Modern Norwegian Artists;\N;\N;1913-00-00;\N;\N;\N
374;book;A Művészház második csoportkiállítása és a Magyar Grafikusok Egyesülete kiállítása;\N;\N;1910-00-00;94;\N;\N
375;book;Exposition Van Dongen;\N;\N;1913-00-00;\N;\N;\N
376;book;Exposition Annuelle, 2me Groupe;\N;\N;1913-00-00;\N;\N;\N
377;book;Exposition Annuelle. 3e Groupe;\N;\N;1913-00-00;\N;\N;\N
378;book;Katalog der Einundzwanzigsten Ausstellung der Berliner Secession. Zeichnende Künste;\N;\N;1910-00-00;9;Berlin;\N
379;book;Catalogue of the Thirty-Fourth Exhibition of Modern Pictures. New English Art Club;\N;\N;1905-00-00;\N;\N;\N
380;book;Exposition de Peintures de Georges Dufrénoy;\N;\N;1914-00-00;\N;\N;\N
381;book;Katalog der 27. Ausstellung der Berliner Secession;\N;\N;1915-00-00;93;Berlin;\N
382;book;Otto M. Miethke-Gutenegg. Architekt Hans Ofner. Kollektivausstellung;\N;\N;1908-00-00;95;\N;\N
383;book;Ausstellung Belgischer Kunst unter den Auspicien der Gesellschaft L'Art Contemporain d'Anvers;\N;\N;1908-00-00;\N;\N;\N
384;book;Trente Tableaux de Maurice Utrillo;\N;\N;1913-00-00;\N;\N;\N
385;book;Trente Tableaux de Maurice Utrillo;\N;\N;1913-00-00;\N;\N;\N
386;book;Exposition de Drésa;\N;\N;1914-00-00;\N;\N;\N
387;book;Exhibition de Peintures de G. L. Jaulmes;\N;\N;1914-00-00;\N;\N;\N
388;book;Exposition de Peintures de Felix Vallotton;\N;\N;1914-00-00;\N;\N;\N
389;book;Katalog der Internationale Kunstausstellung. Dritte Ausgabe;\N;\N;1907-00-00;\N;\N;\N
390;book;Kollektion Alfred Offner;\N;\N;1905-00-00;\N;Vienna;\N
391;book;Old and Modern Pictures;\N;\N;1905-00-00;\N;Vienna;\N
392;book;Kollektion Max Kurzweil;\N;\N;1907-00-00;\N;Vienna;\N
393;book;Katalog der Sächsischen Kunstausstellung;\N;\N;1906-00-00;96;Dresden;\N
394;book;Exhibition of Contemporary German Art;\N;\N;1909-00-00;97;Berlin;\N
395;book;Exposition Annuelle, 3eme Groupe;\N;\N;1914-00-00;\N;\N;\N
396;book;Catalogue of the Thirty-Seventh Exhibition of Modern Pictures. New English Art Club;\N;\N;1906-00-00;\N;London;\N
397;book;Vaszary János gyűjteményes kiállítása a Művészházban;\N;\N;1912-00-00;\N;\N;\N
398;book;Offizieller Katalog der IX. Internationalen Kunstausstellung;Illustrierter Katalog;\N;1905-00-00;98;Munich;\N
399;book;Exposition des oeuvres de James McNeill Whistler;\N;\N;1905-00-00;\N;\N;\N
400;book;Oxford. William Nicholson;\N;\N;1905-00-00;\N;\N;\N
401;book;Exhibition of Pictures by Paul Cézanne (1839-1906) and Paul Gauguin (1848-1903);\N;\N;1911-00-00;\N;\N;\N
402;book;Kunstsalon Paul Cassirer. Die Ausstellungen 1901-1905;\N;\N;2011-00-00;\N;Wädenswil;Echte Bernhard\; Feilchenfeldt, Walter
403;book;[VIII. Jahrgang. I. Ausstellung. Kollektion Claude Monet];[Werke von H. G. Breitner, H. Bürkel, J. Constable, H. Daumier, W. Leistikow, G. Mosson, G. Segantini, C. Spitzweg, A. Maillol];\N;1905-00-00;\N;\N;\N
404;book;[VIII. Jahrgang. II. Ausstellung. Kollektion Max Liebermann];[Werke von V Hammershøi, Konrad von Kardorff, Kurt Tuch, Georg Kolbe, Auguste Rodin];\N;1905-00-00;\N;\N;\N
405;book;[VIII. Jahrgang. V. Ausstellung];[Werke von Ernst Oppler, Heinrich Hübner, Radierungen von Herrmann Struck];\N;1906-00-00;\N;\N;\N
406;book;[VIII. Jahrgang. VI. Ausstellung. Kollektionen von Lovis Corinth];[Werke von Courbet, Philipp Franck, Theo v. Brockhusen, Oskar Moll, Regina Mundlak];\N;1906-00-00;\N;\N;\N
407;book;[VIII. Jahrgang. VII. Ausstellung. Französische Meister];[Werke von Max Liebermann, Walter Leistikow, Ulrich Hübner, Constantin Meunier];\N;1906-00-00;\N;\N;\N
408;book;VII. Jahrgang. Winter 1904/1905. IV. Ausstellung. [Collectionen von E. Gordigiani, Curt Herrmann, Walter Leistikow, Ernst Oppler];[Werke von Adolph Menzel];\N;1905-00-00;\N;\N;\N
409;book;[VII. Jahrgang. III. Ausstellung];[Werke von Edvard Munch, Jacob Alberts, Hans R. Lichtenberger, Oskar Moll, Heinrich Zille, Auguste Renoir, Albert Lebourg];\N;1904-00-00;\N;Berlin;\N
410;book;VII. Jahrgang. Winter 1904/1905. V. Ausstellung. [Collection Jozef Israëls];\N;\N;1905-00-00;\N;Berlin;\N
411;book;Galimberti Sándor és G.-né Dénes Valéria Kiállításának Katalógusa;\N;\N;1914-00-00;\N;\N;\N
412;book;VII. Jahrgang. Frühjahr 1905. VII. Ausstellung. [Collectionen Vincent van Gogh, Félix Vallotton];[Werke von Paul Cézanne, Francisco de Goya, Ulrich Hübner, Jozef Israëls, Konrad von Kardorff, Max Liebermann, Claude Monet, Ignacio Zuloaga];\N;1905-00-00;\N;Berlin;\N
413;book;[IX. Jahrgang. I. Ausstellung. Manet-Monet-Ausstellung];[Sammlung des französischen Opernsängers Faure. Werke von George Mosson, Heinrich Hübner, Willy Schwarz];\N;1906-00-00;\N;\N;\N
414;book;[IX. Jahrgang. II. Ausstellung. Kollektionen Max Liebermann und Walter Leistikow. Gemälde alter Meister];\N;\N;1906-00-00;\N;\N;\N
415;book;[IX. Jahrgang. III. Ausstellung. Schwarz-Weiss Ausstellung der Berliner Secession];\N;\N;1906-00-00;\N;\N;\N
416;book;IX. Jahrgang. Winter 1906/07. IV. Ausstellung [Kollektionen von Max Beckmann und Georg Minne];[Werke von Ulrich Hübner];\N;1907-00-00;\N;\N;\N
417;book;Tibor Ernő Gyüjteményes Kiállítása;\N;\N;1910-00-00;\N;\N;\N
418;book;IX. Jahrgang. Winter 1906/1907. V. Ausstellung. [Kollektionen Paul Baum, Lovis Corinth, Georg Kolbe, Adolphe Monticelli, Edvard Munch. Werke von Joseph Oppenheimer und Hermann Pleuer];\N;\N;1907-00-00;\N;\N;\N
419;book;IX. Jahrgang. Winter 1906/1907. V. Ausstellung. [Kollektionen Paul Baum, Lovis Corinth, Georg Kolbe, Adolphe Monticelli, Edvard Munch];[Werke von Joseph Oppenheimer und Hermann Pleuer];\N;1907-00-00;\N;\N;\N
420;book;IX. Jahrgang. Winter 1906/07. VI. Ausstellung. [Kollektionen von Camille Pissarro, Heinrich Linde-Walther, Ernst Oppler, Paul Baum, Fanny Remak, Frotz Rhein];\N;\N;1907-00-00;\N;\N;\N
421;book;IX. Jahrgang. Winter 1906/07. VII. Ausstellung. [Kollektion altenglischer Meister];[Werke von Ferdinand Chaigneau, von Mitgliedern der Schule von Barbizon und von Emil Orlik];\N;1907-00-00;\N;\N;\N
422;book;IX. Jahrgang. Winter 1906/07. IX. Ausstellung. [Kollektion Isidore Verheyden];\N;\N;1907-00-00;\N;\N;\N
423;book;XIV. Báró Hatvany Ferenc festményeinek gyűjteményes kiállitása;\N;\N;1914-00-00;106;Budapest;\N
424;book;A XIX. Század Nagy Francia Mesterei;\N;\N;1913-00-00;106;Budapest;\N
425;book;VI. Francia impresszionisták (Manet) és Herman Lipót gyüjteményes kiállitásának katalógusa;\N;\N;1912-00-00;106;Budapest;\N
426;book;Kunstsalon Paul Cassirer. Die Ausstellungen 1908-1910;\N;Echte Bernhard\; Feilchenfeldt, Walter;2013-00-00;\N;Wädenswil;\N
427;book;XI. Jahrgang. Winter 1908/09. I. Ausstellung. [Kollektionen Ulrich Hübner, Georges Mosson, Emil Pottner];[Werke von Gustave Courbet, Claude Monet, Wilhelm Trübner, Fritz von Uhde, Heinrich Zügel];\N;1908-00-00;\N;\N;\N
428;book;XI. Jahrgang. Winter 1908/09. II. Ausstellung. [Kollektion Lovis Corinth. Ausstellung "Stilleben"];\N;\N;1908-00-00;\N;\N;\N
429;book;[XI. Jahrgang. III. Ausstellung]. Katalog der Ausstellung des Nachlasses Walter Leistikows;\N;\N;1908-00-00;18;\N;\N
430;book;XI. Jahrgang. Winter 1908/1909. IV. Ausstellung. [Kollektion Leopold Graf von Kalckreuth];\N;\N;1908-00-00;\N;\N;\N
431;book;[XI. Jahrgang]. V. Ausstellung. Henri Matisse;\N;\N;1909-00-00;\N;\N;\N
432;book;XI. Jahrgang. Winter 1908/1909. VI. Ausstellung. [Kollektionen Claude Monet, Heinrich Hübner, Philipp Franck];[Werke von Courbet, Julie Wolfthorn. Plastiken von Hermann Haller];\N;1909-00-00;\N;\N;\N
433;book;XI. Jahrgang. Winter 1908/1909. VII. Ausstellung. [Kollektionen Max Liebermann, Theo von Brockhusen, Alfred Helberger, Georg Minne, Reinhold Nägele, Fritz Rhein];\N;\N;1909-00-00;\N;\N;\N
434;book;XI. Jahrgang. Winter 1908/1909. VIII. Ausstellung. [Kollektionen Auguste Renoir, Heinrich Linde-Walther, Emil Pottner, Waldemar Rösler, Karl Walser];\N;\N;1909-00-00;\N;\N;\N
435;book;A wieni Künstlerhaus kiállítása a Művészházban;\N;\N;1913-00-00;99;\N;\N
436;book;Garden, Field and Wayside. By Mr. & Mrs. Harry Hine;\N;\N;1906-00-00;\N;\N;\N
437;book;Catalogue of Miniatures and Water Colour Drawings by Miss Bess Norriss, A.R.M.S.;\N;\N;1907-00-00;\N;\N;\N
438;book;Sholto Johnstone Douglas;\N;\N;1907-00-00;\N;\N;\N
439;book;XII. Jahrgang. September/Oktober 1909. I. Ausstellung. [Kollektionen Ulrich Hübner, Jakob Nußbaum];[Werke von Courbet, Delacroix und Israëls];\N;1909-00-00;\N;\N;\N
440;book;XII. Jahrgang. II. Ausstellung. [Kollektionen Lovis Corinth, Franz Heckendorf, Alfred Helberger, Oskar Moll];[Werke alter Meister];\N;1909-00-00;\N;\N;\N
441;book;[XII. Jahrgang. III. Ausstellung. Kollektion Paul Cézanne];\N;\N;1909-00-00;\N;\N;\N
442;book;[XII. Jahrgang. IV. Ausstellung]. [Josef Block, Alfred Feiks, Eugen Feiks, Curt Herrmann, Konrad von Kardorff, Alois Metz, Fritz Rhein];\N;\N;1909-00-00;\N;\N;\N
443;book;[XII. Jahrgang, V. Ausstellung]. Die Sammlung Eduard Behrens zu Hamburg;\N;\N;1910-00-00;\N;\N;\N
444;book;[XII. Jahrgang. VI. Ausstellung]. [Kollektionen Max Beckmann, Theo von Brockhusen, Richard Dreher, Ferdinand Hodler, Heinrich Nauen, Julie Wolfthorn];\N;\N;1910-00-00;\N;\N;\N
445;book;XII. Jahrgang. VII. Ausstellung. [Kollektionen Robert Breyer, Adolf Ed. Herstein, Leo Klein-Diepold, Heinrich E. Linde-Walther, Reinhold Nägele, Fritz Rhein, Hedwig Ruetz, Max Slevogt, Fritz Westendorp];\N;\N;1910-00-00;\N;\N;\N
446;book;XII. Jahrgang. VIII. Ausstellung. [Edouard Manet (Sammlung Pellerin)];\N;\N;1910-00-00;\N;\N;\N
447;book;XII. Jahrgang. IX. Ausstellung. [Kollektionen Ludwig v. Hofmann, Erna Frank, Ernst Stern];\N;\N;1910-00-00;\N;\N;\N
448;book;XII. Jahrgang. X. Ausstellung. [Kollektionen Oskar Kokoschka, Hans Hofmann];\N;\N;1910-00-00;\N;\N;\N
449;book;Katalog der Internationalen Kunstschau Wien;\N;\N;1909-00-00;\N;\N;\N
450;book;Vorticist Exhibition;\N;\N;1915-00-00;100;London;\N
451;book;Catalogue of Exhibition of Paintings by Roger Fry;\N;\N;1915-00-00;\N;\N;\N
452;book;Works by David Bomberg;\N;\N;1914-00-00;\N;\N;\N
453;book;[XIII. Jahrgang. I. Ausstellung]. Katalog der Ausstellung von Werken Johann Sperls;\N;\N;1910-00-00;\N;\N;\N
