100;inhabited places;Madrid;ES;40.4;-3.683333;7010413
101;inhabited places;Krolevets;UA;51.5667;33.4;1055937
102;inhabited places;Stockholm;SE;59.3333;18.0833;7009861
103;inhabited places;Dvůr Králové;CZ;50.45;15.8333;1027169
104;inhabited places;Bern;CH;46.916667;7.466667;7007557
105;inhabited places;Warszawa;PL;52.25;21;7007833
106;inhabited places;Döbeln;DE;51.116667;13.116667;7012805
107;inhabited places;Cincinnati;US;39.15;-84.45;7013604
108;inhabited places;Quiévy;FR;50.168038;3.428336;1035017
109;inhabited places;Langres;FR;47.85896;5.332966;7008343
110;inhabited places;Sundsvall;SE;62.3667;17.3333;1063688
111;inhabited places;Olomouc;CZ;49.6333;17.25;7011841
112;inhabited places;Karlsruhe;DE;49.004722;8.385833;7004424
113;inhabited places;Nyack;US;41.0833;-73.9167;2071393
114;inhabited places;Zürich;CH;47.366667;8.55;7007302
115;inhabited places;Torzhok;RU;57.0333;34.85;7010306
116;inhabited places;La Chaux-de-Fonds;CH;47.104417;6.828892;7007387
117;inhabited places;Tenby;GB;51.673056;-4.709722;1064840
118;inhabited places;Haverfordwest;GB;51.801667;-4.970833;7008836
119;inhabited places;Dendermonde;BE;51.028691;4.101059;7007872
120;inhabited places;Aschaffenburg;DE;49.973889;9.149167;7004322
121;inhabited places;Kraków;PL;50.05;19.9167;7007652
122;inhabited places;Münchenbuchsee;CH;47.020946;7.448956;1064212
123;states (political divisions);Wien;AT;48.25;16.416;7003030
124;inhabited places;Pöchlarn;AT;48.2167;15.2167;7003192
125;inhabited places;Waldheim;DE;51.066667;13.016667;1037915
126;inhabited places;Slavyansk;UA;48.85;37.6;7014818
127;inhabited places;Litoměřice;CZ;50.55;14.1667;7011695
128;inhabited places;Opočno;CZ;50.269;16.11;4008221
129;inhabited places;Borisoglebsk;RU;51.3833;42.0333;1053021
130;inhabited places;Adelaide;AU;-34.928661;138.598633;7001904
131;inhabited places;Tiraspol;MD;46.8333;29.6333;1060316
132;inhabited places;Argentan;FR;48.745175;-0.018062;7008654
133;inhabited places;Duisburg;DE;51.433333;6.75;7004923
134;inhabited places;Amherst;CA;45.8333;-64.2333;1014400
135;inhabited places;Bordeaux;FR;44.840439;-0.5805;7008161
136;inhabited places;Berlin;DE;52.516667;13.4;7003712
137;inhabited places;Liberec;CZ;50.763;15.065;7011694
138;inhabited places;Williamsport;US;40.6667;-75.2;2773312
139;inhabited places;Bergen;NO;60.3833;5.3333;7007059
140;inhabited places;Charlottesville;US;38.0167;-78.4667;7013585
141;inhabited places;Banyuls-sur-Mer;FR;42.482715;3.128384;4001198
142;inhabited places;München;DE;48.15;11.583333;7004333
143;inhabited places;Rutherford;US;40.8167;-74.1;7014429
144;inhabited places;Oderzo;IT;45.78;12.488056;7003301
145;inhabited places;Le Cateau-Cambrésis;FR;\N;\N;4006209
146;inhabited places;Nizhniy Novgorod;RU;56.3333;44;7011579
147;inhabited places;Bernstadt;DE;51.05;14.85;1036452
148;general regions;Čechy;CZ;49.3333;14.5;7006470
149;inhabited places;Nantes;FR;47.216509;-1.552379;7008482
150;inhabited places;Etterbeek;BE;50.833333;4.383333;7008814
151;inhabited places;Oneida;US;43.0833;-75.65;7014288
152;inhabited places;Lagan;SE;56.9167;13.9833;1063284
153;inhabited places;Livorno;IT;43.55;10.316667;7006074
154;inhabited places;Brzeg;PL;50.35;17.4667;7007623
155;inhabited places;Marseille;FR;43.285413;5.37606;7008781
156;inhabited places;Soest;DE;51.583333;8.116667;7005105
157;historical regions;Schlesien;\N;50.8;17.4;7007552
158;inhabited places;Løten;NO;60.8167;11.3167;1048626
159;inhabited places;Barcelona;ES;41.398371;2.1741;7007426
160;inhabited places;Kilchberg;CH;47.318309;8.551172;7007382
161;inhabited places;Münster;DE;51.966667;7.633333;7004445
162;inhabited places;Vidin;BG;44;22.8333;7010649
163;inhabited places;Zwickau;DE;50.733333;12.5;7012354
164;inhabited places;Volpedo;IT;44.883333;8.983333;1047497
165;inhabited places;Khvalynsk;RU;52.5;48.0667;1053430
166;inhabited places;Málaga;ES;36.716667;-4.416667;7007942
167;inhabited places;Mirzaani;GE;41.383;46.143;1057036
168;inhabited places;Algiers;DZ;36.783;3.05;7001314
169;inhabited places;Saint John's;CA;47.55;-52.6667;7012999
170;inhabited places;Speyer;DE;49.329722;8.427778;7012341
171;inhabited places;Merano;IT;46.666667;11.15;7005432
172;inhabited places;Lyon;FR;45.748457;4.846711;7008772
173;inhabited places;Limoges;FR;45.831534;1.257805;7008410
174;inhabited places;Kaposvár;HU;46.35;17.8167;1042365
175;inhabited places;Guanajuato;MX;21.016667;-101.25;1017522
176;inhabited places;Neindorf;DE;52.333333;10.833333;1040415
177;inhabited places;Namur;BE;50.469923;4.82577;7007960
178;inhabited places;Laval;FR;48.073203;-0.763399;7008490
179;inhabited places;Venezia;IT;45.438611;12.326667;7018159
180;inhabited places;New Bedford;US;41.6333;-70.9333;7014196
181;inhabited places;Göteborg;SE;57.7167;11.9667;7009954
182;inhabited places;Naxçıvan;AZ;39.2;45.4;1057265
183;inhabited places;Fresne-Saint-Mamès;FR;47.545909;5.860926;1033191
184;inhabited places;Arco;IT;45.916667;10.883333;1043264
185;regions (administrative divisions);Bretagne;FR;48.166;-2.833;7012216
186;inhabited places;Landshut;DE;48.533333;12.15;7004414
187;inhabited places;Lock Haven;US;41.1333;-77.4333;2090232
188;inhabited places;Halifax;GB;53.716667;-1.85;7010460
189;inhabited places;Cookham;GB;51.55;-0.7;7011923
190;inhabited places;Zerków;PL;52.0833;17.5333;1048865
191;inhabited places;Muro Lucano;IT;40.75;15.483333;7004246
192;inhabited places;Smolensk;RU;54.8167;32.0667;7010288
193;inhabited places;'s-Gravenhage;NL;52.083333;4.3;7006810
194;inhabited places;Katwijk aan Zee;NL;52.2;4.416667;7006814
195;inhabited places;Albi;FR;43.927186;2.149255;7008447
196;inhabited places;Yelets;RU;52.5833;38.5;7017988
197;inhabited places;Tambov;RU;52.7333;41.4667;7010298
198;inhabited places;Bessines-sur-Gartempe;FR;46.107991;1.368649;4001468
199;inhabited places;Lausanne;CH;46.533333;6.666667;7007299
200;inhabited places;Dieppe;FR;49.920403;1.086542;7008922
201;inhabited places;Antwerpen;BE;51.213886;4.401514;7007856
202;inhabited places;Utrecht;NL;52.083333;5.133333;7006926
203;inhabited places;Rotterdam;NL;51.916667;4.5;7006792
204;inhabited places;Zundert;NL;51.466667;4.666667;7006823
205;states (political divisions);Bayern;DE;48.5;11.5;7003669
206;inhabited places;Omsk;RU;55;73.3667;7010238
207;inhabited places;Cuiseaux;FR;46.493635;5.388717;1032874
208;inhabited places;Cleckheaton;GB;53.716667;-1.716667;1028875
209;inhabited places;Tyumen';RU;57.1833;65.4833;7011602
210;inhabited places;Lowell;US;42.6333;-71.3167;7013975
211;inhabited places;Mechelen;BE;51.028298;4.479327;7008736
212;inhabited places;Tbilisi;GE;41.694113;44.833682;7012268
213;inhabited places;Jurbarkas;LT;55.0667;22.7;1054785
214;inhabited places;Mora;SE;61;14.5;7009843
215;inhabited places;Havlíčkův Brod;CZ;49.6333;15.5667;1027187
216;inhabited places;Neuilly-sur-Seine;FR;48.883333;2.266667;7009402
217;inhabited places;Roma;IT;41.9;12.483333;7000874
218;inhabited places;Rostock;DE;54.083333;12.133333;7004717
219;inhabited places;San Gimignano;IT;43.466667;11.033333;7006334
220;inhabited places;Menton;FR;43.774227;7.499087;7009337
221;counties;West Sussex;GB;51;-0.416667;7008134
222;inhabited places;San Domenico di Fièsole;IT;\N;\N;5002926
223;inhabited places;Le Cannet;FR;43.574445;7.006431;7009270
224;inhabited places;Tarusa;RU;54.7333;37.2333;1060164
225;inhabited places;Dilbeek;BE;50.847988;4.259723;1026397
226;inhabited places;Interlaken;CH;46.683872;7.866376;7007377
227;inhabited places;Southampton;US;40.8833;-72.3833;7014521
228;nations;Ellás;GR;39;22;1000074
229;inhabited places;Milano;IT;45.466667;9.2;7005903
230;departments (political divisions);Département de Vaucluse;FR;44;5.166667;7008006
231;inhabited places;Saint-Paul;FR;43.695955;7.12258;7009704
232;inhabited places;Villeneuve-Saint-Georges;FR;48.732194;2.44925;1036152
233;inhabited places;Virginia Water;GB;51.4;-0.5667;1030962
234;inhabited places;Zandvoort;NL;52.366667;4.533333;1048265
235;inhabited places;La Tour-de-Peilz;CH;46.453552;6.858596;7007393
236;inhabited places;Horsham;GB;51.05;-0.333333;7011424
237;departments (political divisions);Département du Var;FR;43.5;6.333333;7003220
238;inhabited places;Hamburg;DE;53.55;10;7005289
239;inhabited places;Montpellier;FR;43.61092;3.87723;7009369
240;inhabited places;Todtmoos;DE;47.733333;8;7012738
241;inhabited places;Garches;FR;48.842257;2.182317;7009195
242;inhabited places;Deurle;BE;51.004111;3.614747;4003261
243;islands (landforms);Long Island;US;\N;\N;7015899
244;inhabited places;Forcalquier;FR;43.959812;5.780788;7009185
245;nations;Deutschland;DE;51.5;10.5;7000084
246;inhabited places;Folkestone;GB;51.083333;1.183333;7011556
247;inhabited places;Novodevichye;RU;53.6167;48.8333;1057651
248;inhabited places;Neuville-Saint-Vaast;FR;50.35756;2.762612;7029476
249;inhabited places;Atuona;PF;-9.7833;-139.05;1098718
250;inhabited places;Simferopol;UA;44.95;34.1;7012058
251;inhabited places;Hilversum;NL;52.233333;5.183333;7007042
252;inhabited places;Westport;US;41.1333;-73.35;7014618
253;inhabited places;Avignon;FR;43.945404;4.810226;7008799
254;counties;Surrey;GB;51.2;-0.05;7008175
255;inhabited places;Aldermaston;GB;51.383333;-1.15;1028280
256;inhabited places;Boulogne-Billancourt;FR;48.835684;2.247342;7008963
257;inhabited places;Vence;FR;43.721624;7.112324;7009717
258;nations;Norge;NO;62;10;1000088
259;inhabited places;Uusikirkko;RU;60.316;29.266;7029520
260;inhabited places;Radolfzell;DE;47.733333;8.966667;1040809
261;inhabited places;Genève;CH;46.195602;6.148113;7007279
262;inhabited places;Wiesbaden;DE;50.083333;8.25;7004432
263;inhabited places;Roquebrune;FR;43.764078;7.482065;7017267
264;inhabited places;Fordingbridge;GB;50.933333;-1.8;1029264
265;inhabited places;Frauenkirch;CH;46.76963;9.786416;4004065
266;inhabited places;Sanary-sur-Mer;FR;43.117835;5.800065;1035610
267;inhabited places;Muralto;CH;46.173916;8.803673;7007291
268;inhabited places;Montreux;CH;46.436167;6.911359;7007411
269;inhabited places;Puteaux;FR;48.878888;2.239264;7009452
270;inhabited places;Gif-sur-Yvette;FR;48.683333;2.133333;7009204
271;inhabited places;Capri;IT;40.55;14.233333;1043863
272;neighborhoods;Pacific Palisades;US;34.0333;-118.5167;7014328
273;inhabited places;Perpignan;FR;42.696172;2.897098;7008383
274;inhabited places;Verdun-sur-Garonne;FR;43.851705;1.234049;7013153
275;national districts;Köln;DE;50.9333;6.6667;1003171
276;inhabited places;Cusset;FR;46.130017;3.459632;7009071
277;states (political divisions);Maine;US;45;-69;7007515
278;inhabited places;Nice;FR;43.713644;7.25952;7008773
279;oblasts;Leningradskaya Oblast';RU;60;32;7011572
280;inhabited places;Darmstadt;DE;49.870556;8.649444;7004428
281;inhabited places;Ixelles;BE;50.833333;4.366667;1026511
282;inhabited places;Lidingö;SE;59.3667;18.1667;1063301
283;nations;België;BE;50.8333;4;1000063
284;inhabited places;Vevey;CH;46.465264;6.841168;7007491
285;inhabited places;Giverny;FR;49.076851;1.529978;7009209
286;inhabited places;Murnau;DE;47.683333;11.2;7004704
287;inhabited places;Colchester;GB;51.883333;0.9;7011866
288;counties;Dorset;GB;50.75;-2.333333;7011961
289;inhabited places;Seebüll;DE;54.883611;8.773056;4010274
290;inhabited places;Mougins;FR;43.598726;7.004343;4007565
291;departments (political divisions);Département de Seine-et-Marne;FR;48.5;3;7002973
292;inhabited places;Brno;CZ;49.2167;16.6667;7011840
293;inhabited places;Cagnes-sur-Mer;FR;43.664595;7.153389;7009000
294;inhabited places;Ciudad de México;MX;19.434167;-99.138611;7007227
295;inhabited places;Meudon;FR;48.813807;2.235;7009340
296;inhabited places;Hagen;DE;52.2;7.983333;7013235
297;inhabited places;Brescia;IT;45.55;10.25;7005764
298;inhabited places;Broomall;US;39.9667;-75.35;2086761
299;neighborhoods;Elmhurst;US;40.7333;-73.8667;7015851
